new entry "PRONE"
type "StatusData"
data "StatusType" "KNOCKED_DOWN"
data "DisplayName" "Status_KNOCKED_DOWN_PRONE_DisplayName"
data "Description" "Status_KNOCKED_DOWN_PRONE_Description"
data "Icon" "Status_Prone"
data "FormatColor" "White"
data "StillAnimationPriority" "KO"
data "Boosts" "IF(DistanceToTarget() <= 3):Advantage(AttackTarget);IF(DistanceToTarget() > 3):Disadvantage(AttackTarget)"
data "RemoveConditions" "(HasActionResource('Movement', 50, 0, true) and not Immobilized() and not HasPassive('Athlete_StandUp')) or (HasActionResource('Movement', 3, 0) and not Immobilized() and HasPassive('Athlete_StandUp'))"
data "StatusPropertyFlags" "IgnoredByImmobilized;InitiateCombat;DisableOverhead"
data "RemoveEvents" "OnTurn"
data "OnRemoveFunctors" "STATUS_REMOVED_CONDITIONS:IF(TurnBased() and not HasPassive('Athlete_StandUp')):UseActionResource(Movement, 25%);STATUS_REMOVED_CONDITIONS:IF(TurnBased() and HasPassive('Athlete_StandUp')):UseActionResource(Movement, 1.5)"
data "StatusGroups" "SG_Prone;SG_Condition;SG_Unconscious"
