new entry "HOLD_PERSON"
type "StatusData"
data "StatusType" "INCAPACITATED"
data "DisplayName" "Status_INCAPACITATED_HOLD_PERSON_DisplayName"
data "Description" "Status_INCAPACITATED_HOLD_PERSON_Description"
data "Icon" "Spell_Enchantment_HoldPerson"
data "StatusEffect" "VFX_Status_HoldPerson_01,KeepRot:Dummy_Root"
data "AnimationStart" "4c6636ea-1496-4072-83cc-f2bed762b103(STAT_Snare_Combat_01_Start)"
data "AnimationLoop" "0f46a165-c4a4-4123-8bcf-9cd0b96bae1a(STAT_Snare_Combat_01_Loop)"
data "AnimationEnd" "c6596d70-68b6-4174-8303-d7fa398d8f7a(STAT_Snare_Combat_01_End)"
data "StillAnimationPriority" "Snared"
data "SoundVocalStart" "WEAK"
data "SoundLoop" "Spell_Status_HoldPerson_MO"
data "Boosts" "AbilityFailedSavingThrow(Strength);AbilityFailedSavingThrow(Dexterity);CriticalHit(AttackTarget,Success,Always,2.5);"
data "RemoveConditions" "SavingThrow(Ability.Wisdom, SourceSpellDC())"
data "TickType" "EndTurn"
data "RemoveEvents" "OnTurn"
data "StatusGroups" "SG_Incapacitated;SG_Condition"
