new entry "PRONE"
type "StatusData"
data "StatusType" "KNOCKED_DOWN"
data "DisplayName" "Shared_Status_KNOCKED_DOWN_PRONE_DisplayName"
data "Description" "Shared_Status_KNOCKED_DOWN_PRONE_Description"
data "DescriptionParams" "Distance(3)"
data "Icon" "Status_Prone"
data "FormatColor" "White"
data "StillAnimationType" "KO"
data "StillAnimationPriority" "KO"
data "UseLyingPickingState" "Yes"
data "Boosts" "IF(not DistanceToTargetGreaterThan(3)):Advantage(AttackTarget);IF(DistanceToTargetGreaterThan(3)):Disadvantage(AttackTarget);DetectDisturbancesBlock(false);"
data "RemoveConditions" "(HasActionResource('Movement', 50, 0, true) and not Immobilized() and not HasPassive('Athlete_StandUp')) or (HasActionResource('Movement', 3, 0) and not Immobilized() and HasPassive('Athlete_StandUp'))"
data "StatusPropertyFlags" "IgnoredByImmobilized;InitiateCombat;DisableOverhead;ForceSheathed"
data "RemoveEvents" "OnTurn"
data "OnApplyFunctors" "RemoveStatus(SNEAKING)"
data "OnRemoveFunctors" "IF(RemoveCause(StatusRemoveCause.Condition) and TurnBased() and not HasPassive('Athlete_StandUp')):UseActionResource(Movement, 50%, 0, true);IF(RemoveCause(StatusRemoveCause.Condition) and TurnBased() and HasPassive('Athlete_StandUp')):UseActionResource(Movement, 1.5, 0, true);AI_ONLY:ApplyStatus(AI_HELPER_PRONE,100,2);"
data "StatusGroups" "SG_Prone;SG_Condition;SG_Unconscious"
data "SplatterDirtAmount" "0.1"
data "Sheathing" "Sheathed"
