new entry "Target_Shove"
type "SpellData"
data "SpellType" "Target"
data "SpellProperties" "RemoveStatus(SLEEP);RemoveStatus(SLEEPING);"
data "TargetRadius" "1.5"
data "SpellRoll" "Dead() or HasStatus('SNEAKING',context.Source) or SkillCheck(Skill.Athletics,math.max(context.Target.GetPassiveSkill(Skill.Athletics),context.Target.GetPassiveSkill(Skill.Acrobatics)))"
data "SpellSuccess" "IF(not Ally()):Force(4,OriginToEntity,Aggressive);IF(Ally()):Force(4,OriginToEntity,Friendly)"
data "TargetConditions" "not Self() and TargetSizeEqualOrSmaller(Size.Large) and not Grounded() and (not Item() or (IsMovable() and CanMove(context.Target, context.Source, false)))"
data "Icon" "Action_Shove"
data "DisplayName" "Target_Shove_DisplayName"
data "Description" "Target_Shove_Description"
data "DescriptionParams" "Distance(4)"
data "PrepareEffect" "VFX_Actions_Prepare_Common_Shove_Root_01:::0:None::None::0:0::::"
data "CastEffect" "VFX_Actions_Cast_Common_TargetShove_CastFX_Textkey_01:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Actions_Cast_Common_Impact_Overlay_01:Cast::0:None::None::0:0::::"
data "PreviewCursor" "Melee"
data "CastTextEvent" "Cast"
data "CastSound" "Action_Cast_Shove"
data "CycleConditions" "TargetSizeEqualOrSmaller(Size.Large) and not Grounded()"
data "UseCosts" "ActionPoint:1"
data "SpellAnimationArcaneMagic" "0319ca29-4024-4649-9278-3c1f20c5f023(CMBT_Skill_Shove_Combat_01_Prepare);a71e11ca-95ab-463d-a4bf-fe8094126b61(CMBT_Skill_Shove_Combat_01_Antic);352c3a89-f99c-4472-8424-58c0ffb15e55(CMBT_Skill_Shove_Combat_01_Attack);a57fc614-ed20-4574-936b-bdcc6cebd36a(CMBT_Skill_Shove_Combat_01_Recover);b24b3f23-6d3a-43ce-ae3a-abfb44d26082(CMBT_Skill_Shove_Combat_01_Loop);200ab854-a989-4a6a-8ac9-4b20aecaccda(CMBT_Skill_Shove_Combat_01_Dash)"
data "SpellAnimationDivineMagic" "0319ca29-4024-4649-9278-3c1f20c5f023(CMBT_Skill_Shove_Combat_01_Prepare);a71e11ca-95ab-463d-a4bf-fe8094126b61(CMBT_Skill_Shove_Combat_01_Antic);352c3a89-f99c-4472-8424-58c0ffb15e55(CMBT_Skill_Shove_Combat_01_Attack);a57fc614-ed20-4574-936b-bdcc6cebd36a(CMBT_Skill_Shove_Combat_01_Recover);b24b3f23-6d3a-43ce-ae3a-abfb44d26082(CMBT_Skill_Shove_Combat_01_Loop);200ab854-a989-4a6a-8ac9-4b20aecaccda(CMBT_Skill_Shove_Combat_01_Dash)"
data "SpellAnimationNoneMagic" "0319ca29-4024-4649-9278-3c1f20c5f023(CMBT_Skill_Shove_Combat_01_Prepare);a71e11ca-95ab-463d-a4bf-fe8094126b61(CMBT_Skill_Shove_Combat_01_Antic);352c3a89-f99c-4472-8424-58c0ffb15e55(CMBT_Skill_Shove_Combat_01_Attack);a57fc614-ed20-4574-936b-bdcc6cebd36a(CMBT_Skill_Shove_Combat_01_Recover);b24b3f23-6d3a-43ce-ae3a-abfb44d26082(CMBT_Skill_Shove_Combat_01_Loop);200ab854-a989-4a6a-8ac9-4b20aecaccda(CMBT_Skill_Shove_Combat_01_Dash)"
data "SpellFlags" "IsMelee;CannotTargetTerrain;AddFallDamageOnLand;Stealth"
data "SpellActionType" "Shove"
